customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Tenure_Group,Monthly_Charge_Range,Predicted_Churn_Probability,Churn_Risk_Percentage,Predicted_Churn,Prediction_Correct,Churn_Risk_Category,Churn_Risk_Score,Retention_Priority,Retention_Action,High_Risk_Flag
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,13–24 Months,$35.01–$70,0.2065826740081281,20.66,No,Yes,Low Risk,21,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,13–24 Months,$0–$35,0.02757918051609104,2.76,No,Yes,Low Risk,3,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,49–72 Months,$90.01–$120,0.18066534797152436,18.07,No,Yes,Low Risk,18,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,49–72 Months,$90.01–$120,0.4337476455959407,43.37,No,No,Medium Risk,43,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,25–48 Months,$90.01–$120,0.46268074047008656,46.27,No,Yes,Medium Risk,46,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,49–72 Months,$90.01–$120,0.03251429360830206,3.25,No,Yes,Low Risk,3,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,49–72 Months,$0–$35,0.0105725561153447,1.06,No,Yes,Low Risk,1,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,49–72 Months,$90.01–$120,0.04314460949397039,4.31,No,Yes,Low Risk,4,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,0–12 Months,$35.01–$70,0.1548629535643567,15.49,No,No,Low Risk,15,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,13–24 Months,$90.01–$120,0.5624059120446318,56.24,Yes,No,Medium Risk,56,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,0–12 Months,$35.01–$70,0.7260977232433724,72.61,Yes,Yes,High Risk,73,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0–12 Months,$0–$35,0.06298436950864954,6.3,No,Yes,Low Risk,6,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,0–12 Months,$0–$35,0.19326631658794113,19.33,No,No,Low Risk,19,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,49–72 Months,$35.01–$70,0.016843634884989057,1.68,No,Yes,Low Risk,2,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,49–72 Months,$35.01–$70,0.025327208109377705,2.53,No,Yes,Low Risk,3,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,25–48 Months,$35.01–$70,0.11164375692022015,11.16,No,Yes,Low Risk,11,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,25–48 Months,$90.01–$120,0.4942831825545138,49.43,No,No,Medium Risk,49,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,0–12 Months,$0–$35,0.4709238067573555,47.09,No,No,Medium Risk,47,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,49–72 Months,$90.01–$120,0.0159742470690332,1.6,No,Yes,Low Risk,2,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,13–24 Months,$35.01–$70,0.353342787703657,35.33,No,No,Medium Risk,35,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,49–72 Months,$90.01–$120,0.028699199069721223,2.87,No,Yes,Low Risk,3,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0–12 Months,$90.01–$120,0.7295119641701302,72.95,Yes,No,High Risk,73,Priority 2 - High,Offer contract upgrade incentive; Offer security service retention package; Offer technical support retention package,Yes
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,25–48 Months,$35.01–$70,0.03002117836325691,3.0,No,Yes,Low Risk,3,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0–12 Months,$0–$35,0.18183039506463972,18.18,No,Yes,Low Risk,18,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0–12 Months,$35.01–$70,0.3684392887753656,36.84,No,Yes,Medium Risk,37,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,49–72 Months,$90.01–$120,0.020184990551513793,2.02,No,Yes,Low Risk,2,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,0–12 Months,$35.01–$70,0.6757236271254372,67.57,Yes,Yes,High Risk,68,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,25–48 Months,$70.01–$90,0.25354611524236337,25.35,No,Yes,Low Risk,25,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,25–48 Months,$90.01–$120,0.6185293144069184,61.85,Yes,Yes,High Risk,62,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,0–12 Months,$90.01–$120,0.7167100309177118,71.67,Yes,Yes,High Risk,72,Priority 2 - High,Offer contract upgrade incentive; Offer security service retention package; Offer technical support retention package,Yes
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0–12 Months,$35.01–$70,0.11501611099480895,11.5,No,Yes,Low Risk,12,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,49–72 Months,$35.01–$70,0.012145713680933272,1.21,No,Yes,Low Risk,1,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,13–24 Months,$0–$35,0.04337101995631747,4.34,No,Yes,Low Risk,4,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,49–72 Months,$70.01–$90,0.013804172748534231,1.38,No,Yes,Low Risk,1,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,13–24 Months,$70.01–$90,0.30634929729595894,30.63,No,Yes,Medium Risk,31,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,49–72 Months,$70.01–$90,0.4537669109461799,45.38,No,Yes,Medium Risk,45,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0–12 Months,$35.01–$70,0.3082422183223092,30.82,No,Yes,Medium Risk,31,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,0–12 Months,$70.01–$90,0.7360906916422543,73.61,Yes,Yes,High Risk,74,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,49–72 Months,$70.01–$90,0.03247375112214184,3.25,No,Yes,Low Risk,3,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,49–72 Months,$35.01–$70,0.007056265460540801,0.71,No,Yes,Low Risk,1,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,25–48 Months,$90.01–$120,0.5137669442192564,51.38,Yes,No,Medium Risk,51,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,13–24 Months,$90.01–$120,0.4738953633427316,47.39,No,No,Medium Risk,47,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,25–48 Months,$35.01–$70,0.21338930752878094,21.34,No,Yes,Low Risk,21,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,0–12 Months,$70.01–$90,0.6162733741330382,61.63,Yes,Yes,High Risk,62,Priority 2 - High,Offer contract upgrade incentive; Offer security service retention package; Offer technical support retention package,Yes
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,49–72 Months,$70.01–$90,0.01989205137655151,1.99,No,Yes,Low Risk,2,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,13–24 Months,$90.01–$120,0.7792309293245571,77.92,Yes,Yes,High Risk,78,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,49–72 Months,$90.01–$120,0.13430291356450708,13.43,No,Yes,Low Risk,13,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,49–72 Months,$90.01–$120,0.19706208424828695,19.71,No,Yes,Low Risk,20,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,25–48 Months,$0–$35,0.013278620985811786,1.33,No,Yes,Low Risk,1,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,49–72 Months,$90.01–$120,0.07863648163093324,7.86,No,Yes,Low Risk,8,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,25–48 Months,$90.01–$120,0.5708043118625085,57.08,Yes,No,Medium Risk,57,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,49–72 Months,$70.01–$90,0.2817384455769807,28.17,No,Yes,Low Risk,28,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,49–72 Months,$35.01–$70,0.006154668974996785,0.62,No,Yes,Low Risk,1,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,13–24 Months,$35.01–$70,0.08934163318445136,8.93,No,Yes,Low Risk,9,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,0–12 Months,$90.01–$120,0.7298054404219287,72.98,Yes,Yes,High Risk,73,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0–12 Months,$70.01–$90,0.4694928333665539,46.95,No,Yes,Medium Risk,47,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,25–48 Months,$70.01–$90,0.23275459077361046,23.28,No,Yes,Low Risk,23,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,25–48 Months,$70.01–$90,0.04373966201012251,4.37,No,Yes,Low Risk,4,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,49–72 Months,$0–$35,0.004585309353529731,0.46,No,Yes,Low Risk,0,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0–12 Months,$70.01–$90,0.4587509259895094,45.88,No,Yes,Medium Risk,46,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0–12 Months,$35.01–$70,0.27675539327685134,27.68,No,Yes,Low Risk,28,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,49–72 Months,$0–$35,0.017321255245866696,1.73,No,Yes,Low Risk,2,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,49–72 Months,$90.01–$120,0.06633998794705197,6.63,No,Yes,Low Risk,7,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,49–72 Months,$0–$35,0.005589436929287626,0.56,No,Yes,Low Risk,1,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0–12 Months,$35.01–$70,0.23267859815469327,23.27,No,Yes,Low Risk,23,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,49–72 Months,$90.01–$120,0.19867273098183624,19.87,No,Yes,Low Risk,20,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,25–48 Months,$35.01–$70,0.051834804659796535,5.18,No,Yes,Low Risk,5,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0–12 Months,$35.01–$70,0.15686560856435192,15.69,No,Yes,Low Risk,16,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,25–48 Months,$70.01–$90,0.28143291544808047,28.14,No,Yes,Low Risk,28,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,25–48 Months,$0–$35,0.022172439828047553,2.22,No,Yes,Low Risk,2,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,0–12 Months,$70.01–$90,0.7036627631216473,70.37,Yes,Yes,High Risk,70,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0–12 Months,$35.01–$70,0.4163672164864235,41.64,No,Yes,Medium Risk,42,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,0–12 Months,$70.01–$90,0.5597431911258706,55.97,Yes,Yes,Medium Risk,56,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,25–48 Months,$90.01–$120,0.31860017289098125,31.86,No,Yes,Medium Risk,32,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,49–72 Months,$0–$35,0.00879441830254869,0.88,No,Yes,Low Risk,1,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0–12 Months,$90.01–$120,0.6925367075443748,69.25,Yes,No,High Risk,69,Priority 2 - High,Offer contract upgrade incentive; Offer security service retention package; Offer technical support retention package,Yes
